"","event.id","predicted","Pc","UO","original","correct"
"266","53_9","UO",0.3478,0.6522,"UO",TRUE
"267","53_10","UO",0.1824,0.8176,"UO",TRUE
"268","53_11","UO",0.1224,0.8776,"UO",TRUE
"269","54_1","UO",0.0448,0.9552,"UO",TRUE
"270","54_2","UO",0.2909,0.7091,"UO",TRUE
"271","54_3","UO",0.066,0.934,"UO",TRUE
"272","54_4","UO",0.2631,0.7369,"UO",TRUE
"273","54_5","UO",0.0549,0.9451,"UO",TRUE
"274","55_2","UO",0.03,0.97,"UO",TRUE
"275","55_3","UO",0.2106,0.7894,"UO",TRUE
"276","55_5","UO",0.0374,0.9626,"UO",TRUE
"277","55_6","UO",0.0775,0.9225,"UO",TRUE
"278","56_1","UO",0.0937,0.9063,"UO",TRUE
"279","56_2","UO",0.1139,0.8861,"UO",TRUE
"280","56_4","UO",0.0547,0.9453,"UO",TRUE
"281","56_5","Pc",0.8801,0.1199,"Pc",TRUE
"282","56_6","Pc",0.9062,0.0938,"Pc",TRUE
"283","57_1","UO",0.2654,0.7346,"UO",TRUE
"284","57_2","UO",0.2106,0.7894,"UO",TRUE
"285","57_3","UO",0.2021,0.7979,"UO",TRUE
"286","57_4","UO",0.1748,0.8252,"UO",TRUE
"287","57_5","UO",0.2281,0.7719,"UO",TRUE
"288","57_6","UO",0.034,0.966,"UO",TRUE
"289","57_7","UO",0.1229,0.8771,"UO",TRUE
"290","57_8","UO",0.0625,0.9375,"UO",TRUE
"291","57_9","UO",0.027,0.973,"UO",TRUE
"292","57_10","UO",0.0771,0.9229,"UO",TRUE
"293","57_11","UO",0.0771,0.9229,"UO",TRUE
"294","58_1","Pc",0.8137,0.1863,"X",FALSE
"295","58_2","UO",0.389,0.611,"UO",TRUE
"296","58_3","UO",0.1867,0.8133,"UO",TRUE
"297","58_4","UO",0.177,0.823,"UO",TRUE
"298","58_5","UO",0.174,0.826,"UO",TRUE
"299","58_6","UO",0.3594,0.6406,"UO",TRUE
"300","58_7","UO",0.0689,0.9311,"UO",TRUE
"301","58_8","UO",0.1073,0.8927,"UO",TRUE
"302","58_10","UO",0.0746,0.9254,"UO",TRUE
